Sr. No.,State,Branch Name,Client id,Center Name,Loan Id,Loan Amount,Net Deduct,Interest Collection,Pre Pay Amount,Net Amount,Date,Transaction date
1,Madhya Pradesh,AGAR MALWA,1881178,richhi R,3571442,85000,3394,754,46018,34834,01-07-2024,01-07-2024
2,Madhya Pradesh,AGAR MALWA,3236753,Tanodiya Dg,3595821,85000,5785,497,30306,48412,01-07-2024,02-07-2024
3,Rajasthan,Ameth,1154077,Joj AB,3595675,100000,3887,668,36058,59387,01-07-2024,01-07-2024
4,Rajasthan,Ameth,3059674,vijaypura ssk,3596137,85000,5785,466,31128,47621,01-07-2024,02-07-2024
5,Rajasthan,Ameth,4563443,dhar ssk,3595769,50000,3797,0,0,46203,01-07-2024,02-07-2024
6,Rajasthan,Ameth,4572750,dhar ssk,3595770,50000,3797,0,0,46203,01-07-2024,02-07-2024
7,Madhya Pradesh,Anuppur,3168807,Behnadabar A,3595869,85000,5785,627,33885,44703,01-07-2024,01-07-2024
8,Rajasthan,Asind,1902049,Rampura tiloli ss,3596089,100000,3887,32,1995,94086,01-07-2024,02-07-2024
9,Rajasthan,Asind,2661000,akarsada dddd,3596063,85000,5785,294,22935,55986,01-07-2024,02-07-2024
10,Rajasthan,Asind,4571712,Dahimatha abc,3595746,40000,3278,0,0,36722,01-07-2024,02-07-2024
11,Rajasthan,Asind,4572385,Dahimatha abc,3595748,40000,3278,0,0,36722,01-07-2024,02-07-2024
12,Rajasthan,Asind,4573880,Dahimatha abc,3595902,40000,3278,0,0,36722,01-07-2024,02-07-2024
13,Rajasthan,Bagidora,4572320,sangram pura Aj,3595564,40000,3278,0,0,36722,01-07-2024,01-07-2024
14,Rajasthan,Bagidora,4572408,sangram pura Aj,3595565,40000,3278,0,0,36722,01-07-2024,01-07-2024
15,Rajasthan,Bansur,3112710,Behroj Gaav Ist SA,3595704,85000,5785,357,31349,47509,01-07-2024,02-07-2024
16,Rajasthan,Barmer,4570249,dhanoda gudisar,3594995,60000,4316,0,0,55684,01-07-2024,01-07-2024
17,Rajasthan,Barmer,4570253,dhanoda gudisar,3594996,60000,4316,0,0,55684,01-07-2024,01-07-2024
18,Rajasthan,Barmer,4570262,dhanoda gudisar,3594997,60000,4316,0,0,55684,01-07-2024,01-07-2024
19,Rajasthan,Bassi,3146244,Patan ss,3595961,85000,5785,560,34211,44444,01-07-2024,02-07-2024
20,Rajasthan,Bassi,3146408,Patan ss,3595962,85000,5785,560,34211,44444,01-07-2024,01-07-2024
21,Rajasthan,Bayana,2436841,Nagala alapuri gajipur gazipur,3595944,85000,5785,265,16910,62040,01-07-2024,01-07-2024
22,Rajasthan,Bayana,2670614,jatav basti harnagar bayana,3596160,85000,5785,326,22877,56012,01-07-2024,01-07-2024
23,Rajasthan,Beawar,2300345,andheri deori,3595987,75000,5245,168,13886,55701,01-07-2024,01-07-2024
24,Rajasthan,Behror,3267167,behror N,3596194,85000,5785,592,36106,42517,01-07-2024,02-07-2024
25,Odisha,Bhanjanagar,4491112,Lathipada B,3569212,50000,3797,0,0,46203,01-07-2024,02-07-2024
26,Odisha,Bhanjanagar,4491214,Lathipada B,3569210,50000,3797,0,0,46203,01-07-2024,02-07-2024
27,Odisha,Bhanjanagar,4572623,Lathipada B,3595578,50000,3797,0,0,46203,01-07-2024,02-07-2024
28,Rajasthan,Bharatpur,804588,PICHOOMAR  E,3596094,85000,5785,337,31525,47353,01-07-2024,01-07-2024
29,Rajasthan,Bharatpur,2038254,BELARA KHURD AA,3596624,85000,5785,60,4408,74747,01-07-2024,02-07-2024
30,Rajasthan,Bharatpur,3267819,Jharoli mm,3596505,85000,5785,595,36316,42304,01-07-2024,02-07-2024
31,Rajasthan,Bhilwara,939841,BHUNASH C,3596324,100000,6594,592,36143,56671,01-07-2024,01-07-2024
32,Rajasthan,Bhilwara,1141524,Natho ka kheda Bm,3596545,85000,5785,314,31430,47471,01-07-2024,02-07-2024
33,Rajasthan,Bhim,2374680,SAMELIYA Sanu,3595933,100000,6594,229,14607,78570,01-07-2024,01-07-2024
34,Rajasthan,Bhim,2374872,SAMELIYA Sanu,3595809,100000,3887,275,17526,78312,01-07-2024,01-07-2024
35,Rajasthan,Bijainagar,3266950,Rampura Agoocha SS,3596490,85000,5785,521,36583,42111,01-07-2024,02-07-2024
36,Jharkhand,Bishrampur,4550359,Patsa,3595706,45000,3537,0,0,41463,01-07-2024,02-07-2024
37,Jharkhand,Bishrampur,4570137,Patsa,3595142,35000,3018,0,0,31982,01-07-2024,01-07-2024
38,Jharkhand,Bundu,4521800,Bundu tangartoli,3595541,40000,3278,0,0,36722,01-07-2024,02-07-2024
39,Jharkhand,Bundu,4572336,Bundu tangartoli,3595542,40000,3278,0,0,36722,01-07-2024,02-07-2024
40,Jharkhand,Bundu,4572381,Bundu tangartoli,3595543,45000,2167,0,0,42833,01-07-2024,02-07-2024
41,Jharkhand,Chandankiyari,4571411,PINDRAJORA BERNI,3595735,45000,3537,0,0,41463,01-07-2024,01-07-2024
42,Jharkhand,Chandankiyari,4571786,PINDRAJORA BERNI,3595736,45000,3537,0,0,41463,01-07-2024,02-07-2024
43,Jharkhand,Chandankiyari,4572794,PINDRAJORA BERNI,3595737,45000,3537,0,0,41463,01-07-2024,01-07-2024
